Res_Geo_Short,Work_Geo_Short,Year,Total,Drove alone,2-person carpool,3-person carpool,4-person carpool,5-or-6-person carpool,7-or-more-person carpool,Bus,Streetcar or trolley,Subway,Railroad,Ferry,Bicycle,Walked,Taxi,Motorcycle,Other,Worked at home,Source
Alameda,Alameda,2016,467980,304545,31525,7000,2700,760,425,18495,190,12935,1035,30,13650,25230,315,1415,3840,43890,CTPP_A302103_5YR_2016
Amador,Alameda,2016,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Butte,Alameda,2016,115,55,15,30,0,0,0,0,0,0,15,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Calaveras,Alameda,2016,330,300,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Colusa,Alameda,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Contra Costa,Alameda,2016,101605,77230,9270,2135,585,395,40,1440,90,8335,455,0,620,185,10,280,530,0,CTPP_A302103_5YR_2016
El Dorado,Alameda,2016,280,265,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Fresno,Alameda,2016,235,160,25,0,4,0,0,25,0,0,0,0,0,0,0,0,20,0,CTPP_A302103_5YR_2016
Glenn,Alameda,2016,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Humboldt,Alameda,2016,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,CTPP_A302103_5YR_2016
Kern,Alameda,2016,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Lake,Alameda,2016,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Lassen,Alameda,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Los Angeles,Alameda,2016,935,555,15,0,0,15,0,80,0,0,15,0,0,60,0,0,195,0,CTPP_A302103_5YR_2016
Madera,Alameda,2016,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Marin,Alameda,2016,4205,3735,205,60,25,0,15,25,0,35,0,4,20,15,0,35,35,0,CTPP_A302103_5YR_2016
Mariposa,Alameda,2016,35,10,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Mendocino,Alameda,2016,65,60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Merced,Alameda,2016,1005,710,180,10,20,10,15,4,0,0,30,0,0,10,0,0,15,0,CTPP_A302103_5YR_2016
Monterey,Alameda,2016,460,370,30,45,0,0,10,4,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Napa,Alameda,2016,1120,940,105,10,4,0,10,30,0,10,0,0,4,0,0,0,0,0,CTPP_A302103_5YR_2016
Nevada,Alameda,2016,115,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Orange,Alameda,2016,435,255,0,50,0,0,0,0,0,0,0,0,0,10,0,0,115,0,CTPP_A302103_5YR_2016
Placer,Alameda,2016,625,470,105,0,10,0,0,20,4,10,4,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Riverside,Alameda,2016,125,60,4,4,0,10,0,0,0,0,0,0,0,0,0,0,45,0,CTPP_A302103_5YR_2016
Sacramento,Alameda,2016,2620,1860,260,70,50,0,20,65,0,25,90,0,4,80,0,0,90,0,CTPP_A302103_5YR_2016
San Benito,Alameda,2016,265,220,15,15,0,0,20,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
San Bernardino,Alameda,2016,280,155,15,0,0,0,0,25,0,0,0,0,10,75,0,0,0,0,CTPP_A302103_5YR_2016
San Diego,Alameda,2016,220,85,25,0,0,0,0,4,0,0,0,0,10,0,0,0,100,0,CTPP_A302103_5YR_2016
San Francisco,Alameda,2016,22550,12155,1410,205,65,60,60,1705,105,5730,205,60,285,185,40,155,125,0,CTPP_A302103_5YR_2016
San Joaquin,Alameda,2016,27645,20770,3970,1040,325,205,220,255,0,30,475,0,15,20,0,200,120,0,CTPP_A302103_5YR_2016
San Luis Obispo,Alameda,2016,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
San Mateo,Alameda,2016,12940,10050,810,215,80,35,60,175,25,1210,105,0,25,20,15,15,95,0,CTPP_A302103_5YR_2016
Santa Barbara,Alameda,2016,65,35,0,10,0,0,10,0,0,0,0,0,0,0,0,0,15,0,CTPP_A302103_5YR_2016
Santa Clara,Alameda,2016,38120,32615,3455,570,295,110,45,200,15,215,125,0,35,30,25,145,240,0,CTPP_A302103_5YR_2016
Santa Cruz,Alameda,2016,820,715,55,0,10,0,0,10,0,4,0,0,0,10,0,10,4,0,CTPP_A302103_5YR_2016
Shasta,Alameda,2016,70,45,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,CTPP_A302103_5YR_2016
Sierra,Alameda,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Siskiyou,Alameda,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Solano,Alameda,2016,10085,7360,1210,305,105,60,110,390,0,325,115,4,0,45,0,35,25,0,CTPP_A302103_5YR_2016
Sonoma,Alameda,2016,2320,1955,150,25,10,10,30,35,0,15,0,0,0,20,0,10,60,0,CTPP_A302103_5YR_2016
Stanislaus,Alameda,2016,6825,4850,1025,530,75,25,165,45,0,0,10,35,0,0,0,4,60,0,CTPP_A302103_5YR_2016
Sutter,Alameda,2016,175,120,50,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,CTPP_A302103_5YR_2016
Tehama,Alameda,2016,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,CTPP_A302103_5YR_2016
Trinity,Alameda,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Tulare,Alameda,2016,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Tuolumne,Alameda,2016,275,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Ventura,Alameda,2016,55,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Yolo,Alameda,2016,590,475,20,0,20,15,0,0,0,0,45,0,4,0,0,0,10,0,CTPP_A302103_5YR_2016
Yuba,Alameda,2016,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Alpine,Alpine,2016,225,115,4,10,0,0,0,0,0,0,0,0,0,30,0,0,0,65,CTPP_A302103_5YR_2016
Amador,Alpine,2016,40,35,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,CTPP_A302103_5YR_2016
Calaveras,Alpine,2016,35,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
El Dorado,Alpine,2016,120,45,40,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Sacramento,Alpine,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
San Diego,Alpine,2016,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Tuolumne,Alpine,2016,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Amador,Amador,2016,8285,6560,465,160,20,0,0,4,0,0,0,0,20,320,0,0,50,690,CTPP_A302103_5YR_2016
Butte,Amador,2016,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,CTPP_A302103_5YR_2016
Calaveras,Amador,2016,980,850,50,0,15,10,0,40,0,0,0,0,0,0,0,0,20,0,CTPP_A302103_5YR_2016
Contra Costa,Amador,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
El Dorado,Amador,2016,480,435,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Fresno,Amador,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Glenn,Amador,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Los Angeles,Amador,2016,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Nevada,Amador,2016,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Placer,Amador,2016,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Plumas,Amador,2016,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Sacramento,Amador,2016,1410,1295,55,40,0,0,0,0,0,0,0,0,0,10,0,0,10,0,CTPP_A302103_5YR_2016
San Diego,Amador,2016,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
San Joaquin,Amador,2016,650,425,60,25,15,85,40,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
San Luis Obispo,Amador,2016,25,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Shasta,Amador,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Solano,Amador,2016,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Stanislaus,Amador,2016,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Tuolumne,Amador,2016,50,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Yolo,Amador,2016,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Yuba,Amador,2016,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Amador,Butte,2016,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Butte,Butte,2016,80320,59770,6305,1445,340,170,160,1040,4,0,4,0,2235,2815,80,350,440,5160,CTPP_A302103_5YR_2016
Colusa,Butte,2016,90,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
