CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Minnesota,EIP,2003-04,2003,40,Overall,0,0
Minnesota,EIP,2003-04,2003,41,Overall,0,0
Minnesota,EIP,2003-04,2003,42,Overall,0,0
Minnesota,EIP,2003-04,2003,43,Overall,0,0
Minnesota,EIP,2003-04,2003,44,Overall,0,0
Minnesota,EIP,2003-04,2003,45,Overall,0,0
Minnesota,EIP,2003-04,2003,46,Overall,0,0
Minnesota,EIP,2003-04,2003,47,Overall,0,0
Minnesota,EIP,2003-04,2003,48,Overall,0.1,0.1
Minnesota,EIP,2003-04,2003,49,Overall,1.3,1.1
Minnesota,EIP,2003-04,2003,50,Overall,2.7,1.4
Minnesota,EIP,2003-04,2003,51,Overall,5.4,2.7
Minnesota,EIP,2003-04,2003,52,Overall,9.7,4.3
Minnesota,EIP,2003-04,2003,53,Overall,13.4,3.7
Minnesota,EIP,2003-04,2004,1,Overall,15.7,2.3
Minnesota,EIP,2003-04,2004,2,Overall,17.8,2.1
Minnesota,EIP,2003-04,2004,3,Overall,18.5,0.7
Minnesota,EIP,2003-04,2004,4,Overall,18.5,0
Minnesota,EIP,2003-04,2004,5,Overall,18.7,0.1
Minnesota,EIP,2003-04,2004,6,Overall,18.8,0.1
Minnesota,EIP,2003-04,2004,7,Overall,19,0.1
Minnesota,EIP,2003-04,2004,8,Overall,19.1,0.1
Minnesota,EIP,2003-04,2004,9,Overall,19.1,0
Minnesota,EIP,2003-04,2004,10,Overall,19.1,0
Minnesota,EIP,2003-04,2004,11,Overall,19.1,0
Minnesota,EIP,2003-04,2004,12,Overall,19.1,0
Minnesota,EIP,2003-04,2004,13,Overall,19.3,0.1
Minnesota,EIP,2003-04,2004,14,Overall,19.3,0
Minnesota,EIP,2003-04,2004,15,Overall,19.3,0
Minnesota,EIP,2003-04,2004,16,Overall,19.3,0
Minnesota,EIP,2003-04,2004,17,Overall,19.3,0
Minnesota,EIP,2004-05,2004,40,Overall,0,0
Minnesota,EIP,2004-05,2004,41,Overall,0,0
Minnesota,EIP,2004-05,2004,42,Overall,0,0
Minnesota,EIP,2004-05,2004,43,Overall,0,0
Minnesota,EIP,2004-05,2004,44,Overall,0,0
Minnesota,EIP,2004-05,2004,45,Overall,0.1,0.1
Minnesota,EIP,2004-05,2004,46,Overall,0.7,0.6
Minnesota,EIP,2004-05,2004,47,Overall,0.7,0
Minnesota,EIP,2004-05,2004,48,Overall,0.9,0.1
Minnesota,EIP,2004-05,2004,49,Overall,1.3,0.4
